id,route_name,start_id,finish_id,bus_stops
20,184,8350DB004657,8350DB004156,"['8350DB004657', '8350DB007279', '8350DB004658', '8350DB004659', '8350DB004660', '8350DB004661', '8350DB004238', '8350DB004239', '8350DB004237', '8350DB003442', '8350DB004240', '8350DB004241', '8350DB004242', '8350DB004243', '8350DB004244', '8350DB004277', '8350DB004278', '8350DB004279', '8350DB004280', '8350DB007462', '8350DB007461', '8350DB004281', '8350DB004282', '8350DB004283', '8350DB004284', '8350DB004292', '8350DB004293', '8350DB004294', '8350DB004295', '8350DB004296', '8350DB004297', '8350DB004299', '8350DB004300', '8350DB004301', '8350DB004302', '8350DB005135', '8350DB004303', '8350DB004304', '8350DB004148', '8350DB004149', '8350DB003045', '8350DB004150', '8350DB004151', '8350DB004156']"
21,185,8350DB004109,8350DB005092,"['8350DB004109', '8350DB004110', '8350DB004111', '8350DB004112', '8350DB004113', '8350DB004095', '8350DB004192', '8350DB004194', '8350DB004196', '8350DB004422', '8350DB007369', '8350DB007294', '8350DB004132', '8350DB004134', '8350DB004135', '8350DB004136', '8350DB004207', '8350DB004137', '8350DB004138', '8350DB004139', '8350DB004140', '8350DB007522', '8350DB004175', '8350DB005091', '8350DB005092']"
22,185,8350DB004167,8350DB006139,"['8350DB004167', '8350DB004170', '8350DB004153', '8350DB004154', '8350DB004416', '8350DB004417', '8350DB004419', '8350DB004420', '8350DB004421', '8350DB002113', '8350DB004183', '8350DB004184', '8350DB004185', '8350DB004584', '8350DB004186', '8350DB004187', '8350DB004189', '8350DB004190', '8350GD10395', '8350DB004103', '8350DB004104', '8350DB004105', '8350DB004106', '8350DB006139']"
23,220,8220DB007571,8240DB001826,"['8220DB007571', '8220DB001644', '8220DB001605', '8220DB000092', '8220DB000093', '8240DB000124', '8240DB004686', '8240DB004687', '8220DB000102', '8220DB006239', '8220DB000104', '8220DB006241', '8220DB000105', '8220DB004365', '8220DB004367', '8220DB004788', '8220DB006273', '8220DB000136', '8220DB000137', '8220DB000193', '8220DB000979', '8220DB001529', '8220DB001530', '8220DB001531', '8220DB001532', '8220DB001592', '8220DB001593', '8220DB001594', '8220DB001596', '8220DB004363', '8220DB001598', '8220DB001597', '8220DB001599', '8220DB001600', '8220DB001601', '8220DB001602', '8220DB001603', '8220DB001604', '8220DB001573', '8220DB001574', '8220DB001575', '8220DB004583', '8220DB001576', '8220DB001577', '8220DB001578', '8220DB004364', '8240DB001580', '8240DB007237', '8240DB007241', '8240DB007247', '8240DB007243', '8240DB007126', '8240DB007124', '8240DB007343', '8240DB007318', '8240DB004980', '8240DB002289', '8240DB001835', '8240DB001836', '8240DB001837', '8240DB002338', '8240DB002290', '8240DB006179', '8240DB007297', '8240DB001813', '8240DB001814', '8240DB001852', '8240DB001853', '8240DB001854', '8240DB001844', '8240DB006172', '8240DB001856', '8240DB001857', '8240DB001858', '8240DB001859', '8240DB001860', '8240DB004492', '8240DB001861', '8240DB001862', '8240DB001863', '8240DB001864', '8240DB001865', '8240DB001866', '8240DB001850', '8240DB001867', '8240DB004489', '8240DB004323', '8240DB001824', '8240DB001825', '8240DB001826']"
24,220,8240DB001828,8220DB001646,"['8240DB001828', '8240DB001829', '8240DB001830', '8240DB001831', '8240DB004464', '8240DB001869', '8240DB001870', '8240DB001871', '8240DB001872', '8240DB001873', '8240DB001874', '8240DB001875', '8240DB001876', '8240DB001877', '8240DB001878', '8240DB001879', '8240DB001880', '8240DB001881', '8240DB007379', '8240DB004903', '8240DB001883', '8240DB001884', '8240DB001902', '8240DB001903', '8240DB001904', '8240DB001840', '8240DB001841', '8240DB001842', '8240DB007298', '8240DB002294', '8240DB006039', '8240DB001816', '8240DB001817', '8240DB001818', '8240DB001819', '8240DB001820', '8240DB002468', '8240DB007319', '8240DB007342', '8240DB007125', '8240DB007344', '8240DB002510', '8240DB007242', '8240DB007238', '8240DB007224', '8240DB001581', '8220DB004793', '8220DB006068', '8220DB001584', '8220DB001585', '8220DB001586', '8220DB001600', '8220DB001601', '8220DB001602', '8220DB001603', '8220DB001604', '8220DB001587', '8220DB004539', '8220DB001606', '8220DB001607', '8220DB001608', '8220DB001609', '8220DB001610', '8220DB007471', '8220DB001512', '8220DB001538', '8220DB001513', '8220DB004592', '8220DB004375', '8220DB004366', '8220DB004479', '8220DB004376', '8220DB004377', '8220DB004890', '8220DB004369', '8220DB004368', '8220DB004781', '8220DB000107', '8220DB007092', '8220DB000110', '8240DB000124', '8240DB004686', '8240DB004687', '8220DB000112', '8220DB000113', '8220DB000114', '8240DB001645', '8220DB001646']"
25,236,8240DB004747,8240DB004744,"['8240DB004747', '8240DB002960', '8240DB001545', '8240DB001816', '8240DB006171', '8240DB004974', '8240DB004976', '8240DB007126', '8240DB007124', '8240DB007343', '8240DB007575', '8240DB004978', '8240DB004979', '8240DB004986', '8240DB007107', '8240DB007102', '8240DB007103', '8240DB007104', '8240DB007105', '8240DB007106', '8240DB006005', '8240DB001546', '8240DB007381', '8240DB004742', '8240DB004743', '8240DB004744']"
26,236,8240DB004745,8240DB000661,"['8240DB004745', '8240DB004989', '8240DB004990', '8240DB004991', '8240DB004992', '8240DB004986', '8240DB007107', '8240DB007102', '8240DB007103', '8240DB007104', '8240DB007105', '8240DB007106', '8240DB006005', '8240DB001546', '8240DB005071', '8240DB005072', '8240DB004321', '8240DB007570', '8240DB007342', '8240DB007125', '8240DB007344', '8240DB007334', '8240DB006274', '8240DB001838', '8240DB002338', '8240DB000661']"
27,238,8240DB001828,8240DB001546,"['8240DB001828', '8240DB001829', '8240DB001830', '8240DB001831', '8240DB004747', '8240DB002960', '8240DB001545', '8240DB001816', '8240DB001817', '8240DB001818', '8240DB001819', '8240DB001820', '8240DB002468', '8240DB004978', '8240DB004979', '8240DB004986', '8240DB007107', '8240DB007102', '8240DB007103', '8240DB007104', '8240DB007105', '8240DB007106', '8240DB006005', '8240DB001546']"
28,238,8240DB007073,8240DB001826,"['8240DB007073', '8240DB007097', '8240DB007098', '8240DB007099', '8240DB007100', '8240DB007101', '8240DB007505', '8240DB005071', '8240DB005072', '8240DB004980', '8240DB002289', '8240DB001835', '8240DB001836', '8240DB001837', '8240DB002338', '8240DB000661', '8240DB007026', '8240DB004323', '8240DB001824', '8240DB001825', '8240DB001826']"
29,270,8240DB007026,8310DB003332,"['8240DB007026', '8240DB004323', '8240DB004324', '8240DB004769', '8240DB004770', '8240DB004765', '8240DB004766', '8240DB004767', '8240DB004768', '8240DB004325', '8310DB003328', '8310DB003329', '8310DB003330', '8310DB003331', '8310DB003351', '8310DB003332']"
30,270,8310DB003333,8240DB004768,"['8310DB003333', '8310DB003334', '8310DB003352', '8310DB003335', '8310DB003336', '8310DB003337', '8310DB003338', '8310DB003339', '8240DB003340', '8240DB004324', '8240DB004769', '8240DB004770', '8240DB004765', '8240DB004766', '8240DB004767', '8240DB004768']"
